
#################################################################
# Summary Statistics
#################################################################
  
DIC = 256.6067

                Mean    SD  2.5%    5%   25%   50%   75%   95% 97.5%
Site.SD        0.679 0.333 0.255 0.295 0.449 0.605 0.826 1.312 1.538
p.global.Brown 0.111 0.062 0.022 0.030 0.066 0.100 0.145 0.227 0.266
p.global.Green 0.533 0.093 0.334 0.373 0.477 0.537 0.595 0.681 0.703
p.global.Red   0.356 0.095 0.178 0.206 0.296 0.352 0.413 0.524 0.570
p.CP.Brown     0.063 0.040 0.006 0.010 0.033 0.058 0.086 0.134 0.154
p.EC.Brown     0.204 0.081 0.037 0.064 0.149 0.206 0.261 0.333 0.363
p.FHL.Brown    0.145 0.092 0.015 0.024 0.073 0.129 0.201 0.321 0.364
p.LG.Brown     0.046 0.031 0.004 0.007 0.023 0.040 0.063 0.106 0.119
p.MN.Brown     0.128 0.086 0.012 0.018 0.063 0.111 0.178 0.299 0.334
p.RB.Brown     0.113 0.068 0.012 0.019 0.061 0.104 0.158 0.235 0.263
p.CP.Green     0.388 0.051 0.284 0.302 0.356 0.391 0.422 0.469 0.484
p.EC.Green     0.426 0.061 0.306 0.328 0.386 0.426 0.465 0.527 0.545
p.FHL.Green    0.574 0.093 0.387 0.414 0.514 0.575 0.635 0.723 0.753
p.LG.Green     0.563 0.049 0.459 0.482 0.531 0.565 0.595 0.639 0.655
p.MN.Green     0.632 0.084 0.458 0.490 0.580 0.633 0.688 0.765 0.792
p.RB.Green     0.640 0.069 0.500 0.522 0.593 0.642 0.686 0.753 0.775
p.CP.Red       0.549 0.051 0.448 0.463 0.515 0.549 0.583 0.634 0.649
p.EC.Red       0.370 0.068 0.240 0.262 0.324 0.370 0.414 0.483 0.515
p.FHL.Red      0.281 0.093 0.095 0.125 0.217 0.284 0.345 0.430 0.462
p.LG.Red       0.391 0.047 0.299 0.314 0.359 0.392 0.421 0.469 0.485
p.MN.Red       0.240 0.085 0.069 0.093 0.183 0.242 0.300 0.375 0.401
p.RB.Red       0.247 0.072 0.106 0.132 0.198 0.247 0.297 0.363 0.385
