Site,c16.4w3,c18.2w6,c18.3w3,c18.4w3,c20.4w6,c20.5w3,c22.5w3,c22.6w3
CP,3.202977009,4.195794109,9.95990269,5.300393281,5.761223881,18.25317076,1.435137552,0.400011539
CP,1.714109788,3.771750301,6.866627684,3.705524842,6.550118719,21.73058863,1.347765611,0.992938904
CP,3.246718705,2.608152645,8.285631685,6.266782307,3.202312807,21.21075455,1.518589188,1.128187337
CP,0.218583402,4.218532568,3.433157323,0.668458542,10.72011793,25.53803923,1.380760848,1.059875331
CP,0.732126489,2.535899786,4.493583868,2.538955087,4.599755576,29.0830278,1.028872594,1.482584785
EC,2.443477179,3.059818431,7.679310202,6.20619326,5.145131203,14.43667869,1.127388799,0.553828297
EC,2.473223764,3.515792441,8.557175859,6.291228787,5.1345932,16.28898485,1.063713489,0.509201589
EC,2.175700323,3.099819207,7.646180801,5.632515575,5.682802329,16.366343,0.915139107,0.653927356
EC,2.428811864,2.686389846,7.008374272,5.414087757,4.620699779,14.99585212,0.889830364,0.743033104
EC,2.15484612,2.953352998,7.639719126,5.403430003,5.742775849,17.06987914,1.311963246,0.931634864
FHL,0.271410515,8.930722031,5.942474877,3.888893028,12.73642885,16.68740114,0.482728309,0.555733516
FHL,2.207526374,6.237862804,8.844276492,5.208890988,9.00750538,14.16233664,1.467223009,0.459245263
FHL,1.216579431,7.785289366,7.745270305,4.517500428,9.488426116,12.28845739,0.858455376,0.206051626
FHL,1.274525683,6.507509201,7.618949214,4.130758963,8.43856641,18.83751194,0.941372936,0.845029517
FHL,0.735459481,6.857952172,6.392901892,3.055356244,11.01770243,17.17633893,0.986324255,0.482720584
RB,3.322733409,3.1669831,11.94729395,4.921384896,2.806573638,13.81701956,1.98522989,1.694664424
RB,2.998530385,3.112404067,10.08856364,5.699270349,2.570966938,14.00474402,1.550400921,1.799633885
RB,4.853704082,2.940294447,12.85886092,7.621331008,1.965194433,11.71820413,1.443636499,1.168945198
RB,4.784224503,3.045801341,11.70230909,6.699001288,3.450983626,11.59998276,1.492165289,0.727341558
RB,4.11223066,3.287195585,11.8598316,6.380030115,3.569694905,13.13393399,1.802170524,1.068319529
LG,1.362863927,2.716724625,9.328471589,1.640463516,3.405096578,20.81884376,2.366724062,0.920580258
LG,2.766898527,2.799363593,11.99941056,3.696872993,3.493563398,18.19977758,1.694860619,0.559734569
LG,1.227173044,2.40361952,7.705314505,2.009591933,5.58760837,24.97796725,1.652456396,1.416757189
LG,2.155069975,2.917595254,8.979906641,2.901452408,3.740880413,19.88776238,1.676613948,1.570116004
LG,2.069784311,2.855911765,10.12821069,3.075382679,4.419177046,22.75243805,2.069474324,0.825495824
MN,3.794411529,4.016917281,12.59752449,4.452396316,3.909371476,8.368530142,1.194654648,0.247844195
MN,2.845822135,5.526378834,10.96366781,4.85315146,6.011319653,11.63652085,1.019292821,0.361225697
MN,3.058315985,5.610147904,11.19434766,4.604706717,6.100587696,10.12294668,0.964042999,0.279487296
MN,2.347003032,6.151945825,10.62119142,4.929907674,7.857606495,11.91317658,0.763216787,0.345569216
MN,1.791447746,6.382648644,8.48274207,4.971158214,8.217123364,11.7710485,0.726487302,0.363243651
