ID,tag_ID,lat,long,date,year,habitat,sex,Length,sclass,sex_sclass,d15N,d13C
1,SAM152,31.43585,-81.27632,6/29/2007,2007,F,Male,186,Adult,Male_Adult,7.18,-23.8
2,SAM257,31.397779,-81.273903,11/20/2010,2010,I,Female,186.5,Adult,Female_Adult,9.8846,-16.70225
3,SAM287,31.46665,-81.22577,6/22/2009,2009,M,Male,186.5,Adult,Male_Adult,8.0962,-16.3198
4,SAM245,31.49783,-81.23375,7/2/2008,2008,M,Male,188.1,Adult,Male_Adult,9.04,-14.61
5,SAM270,31.436258,-81.280773,4/4/2009,2009,M,Female,188.4,Adult,Female_Adult,10.8545,-15.75116667
6,SAM289,31.47969,-81.2205,6/22/2009,2009,M,Male,188.6,Adult,Male_Adult,9.1272,-16.0818
7,SAM288,31.51068,-81.21247,6/22/2009,2009,M,Male,189.5,Adult,Male_Adult,8.8532,-16.4558
8,SAM246,31.48404,-81.21051,7/2/2008,2008,M,Female,189.9,Adult,Female_Adult,9.28,-15.52
9,SAM284-2,31.45592,-81.2674,6/18/2009,2009,I,Female,191.6,Adult,Female_Adult,6.1972,-25.4208
10,SAM234,31.47089,-81.2645,6/12/2008,2008,F,Female,192.1,Adult,Female_Adult,6.31,-24.82
11,SAM177,31.44569,-81.25552,7/25/2007,2007,I,Female,192.2,Adult,Female_Adult,6.34,-24
12,SAM125,31.4359,-81.27563,5/31/2007,2007,F,Male,192.5,Adult,Male_Adult,9.36,-18.42
13,SAM185,31.50804,-81.22578,8/14/2007,2007,M,Female,196.2,Adult,Female_Adult,9.17,-16.66
14,SAM222,31.45254,-81.27231,5/20/2008,2008,I,Female,199.8,Adult,Female_Adult,9.74,-16.31
15,SAM239,31.49155,-81.2599,6/21/2008,2008,I,Female,200.3,Adult,Female_Adult,9.9,-15.7
16,SAM135,31.39909,-81.28086,6/19/2007,2007,F,Male,201.9,Adult,Male_Adult,10.81,-15.68
17,SAM170,31.43197,-81.28682,7/10/2007,2007,M,Male,202,Adult,Male_Adult,11.07,-15.42
18,SAM153,31.39647,-81.27993,6/29/2007,2007,M,Female,204.2,Adult,Female_Adult,9.92,-17.21
19,SAM225,31.39742,-81.27275,5/21/2008,2008,I,Female,204.2,Adult,Female_Adult,9.74,-16.9
20,SAM123,31.39816,-81.27935,5/29/2007,2007,F,Female,204.5,Adult,Female_Adult,9.21,-17.49
21,SAM211,31.39504,-81.28054,4/16/2008,2008,M,Female,210,Adult,Female_Adult,10.23,-16.78
22,SAM326,31.394772,-81.281534,6/20/2010,2010,M,Male,210,Adult,Male_Adult,10.11875,-15.43375
23,SAM228,31.5143,-81.23407,5/28/2008,2008,I,Female,211.3,Adult,Female_Adult,9.49,-16.27
24,SAM179,31.41251,-81.28621,8/3/2007,2007,M,Female,213.2,Adult,Female_Adult,8.78,-17.35
25,SAM294,31.51699,-81.23127,7/1/2009,2009,M,Female,215.5,Adult,Female_Adult,10,-16.03
26,SAM223,31.49549,-81.25228,4/19/2008,2008,F,Female,215.7,Adult,Female_Adult,4.51,-26.55
27,SAM290,31.45404,-81.23175,6/22/2009,2009,M,Male,217.5,Adult,Male_Adult,9.1622,-16.1408
28,SAM192,31.46131,-81.27881,9/9/2007,2007,M,Male,219.6,Adult,Male_Adult,8.92,-16.24
29,SAM130,31.43625,-81.27562,6/8/2007,2007,F,Male,221.1,Adult,Male_Adult,8.93,-17.64
30,SAM233,31.52094,-81.23263,6/10/2008,2008,F,Female,226.4,Adult,Female_Adult,8.93,-15.41
31,SAM321,31.52459,-81.2398,6/10/2010,2010,I,Female,229.9,Adult,Female_Adult,9.90075,-18.22375
32,SAM292,31.459354,-81.278618,6/28/2009,2009,M,Male,231.9,Adult,Male_Adult,10.2742,-15.7398
33,SAM227,31.46084,-81.25936,5/27/2008,2008,F,Female,233.1,Adult,Female_Adult,6.48,-25.17
34,SAM184,31.50598,-81.22772,8/14/2007,2007,M,Female,234.4,Adult,Female_Adult,7.99,-17.9
35,SAM196,31.43445,-81.24259,10/6/2007,2007,M,Female,234.8,Adult,Female_Adult,9.41,-15.5
36,SAM250,31.49885,-81.2275,7/29/2008,2008,M,Male,235.2,Adult,Male_Adult,10.19,-15.47
37,SAM230,31.39063,-81.26309,6/1/2008,2008,M,Female,236.6,Adult,Female_Adult,10.965,-26.0496
38,SAM214,31.41218,-81.28015,5/12/2008,2008,F,Female,237,Adult,Female_Adult,8.84,-18.3
39,SAM249,31.39774,-81.28004,7/21/2008,2008,F,Female,237.5,Adult,Female_Adult,9.02,-19.35
40,SAM134,31.44115,-81.23848,9/5/2007,2007,M,Female,237.5,Adult,Female_Adult,8.84,-16.88
41,SAM191-R,31.48342,-81.21959,6/22/2009,2009,M,Male,242,Adult,Male_Adult,7.6762,-20.3208
42,SAM124,31.43615,-81.2756,5/31/2007,2007,F,Female,246,Adult,Female_Adult,10.58,-15.43
43,SAM193,31.462,-81.26798,9/16/2007,2007,F,Female,247.5,Adult,Female_Adult,8.17,-18.24
44,SAM255,31.428863,-81.272453,6/27/2010,2010,M,Male,247.5,Adult,Male_Adult,7.94275,-19.54875
45,SAM247-R-2,31.456784,-81.280486,6/23/2009,2009,M,Male,248.8,Adult,Male_Adult,10.45,-16.26
46,SAM320,31.474264,-81.26134,5/20/2010,2010,F,Male,251.5,Adult,Male_Adult,8.68875,-17.06375
47,SAM182-R-2,31.403697,-81.281601,8/9/2010,2010,F,Male,253.5,Adult,Male_Adult,10.43475,-16.57775
48,SAM240,31.49556,-81.25233,4/19/2008,2008,F,Male,263.4,Adult,Male_Adult,9.31,-15.81
49,SAM190,31.48296,-81.20883,9/7/2007,2007,M,Male,265.3,Adult,Male_Adult,8.85,-16.38
50,SAM188,31.42345,-81.25207,8/28/2007,2007,M,Male,275.2,Adult,Male_Adult,9.76,-15.97
51,SAM180,31.51419,-81.23403,8/6/2007,2007,I,Male,285.7,Adult,Male_Adult,9.91,-15.82
52,SAM189,31.44678,-81.2377,9/5/2007,2007,M,Male,287,Adult,Male_Adult,9.11,-15.87
53,SAM181,31.50237,-81.2307,8/11/2007,2007,M,Male,294,Adult,Male_Adult,9.04,-17.35
54,SAM323,31.430824,-81.253002,6/10/2010,2010,F,Male,296.3,Adult,Male_Adult,9.31075,-16.69575
55,SAM329,31.51359,-81.21037,7/17/2010,2010,M,Male,296.7,Adult,Male_Adult,9.69775,-16.25275
