Region,d13C,d15N
Canada,-18.9,14.14
Canada,-18.97,13.69
Canada,-19.17,14.73
Canada,-19.39,14.89
Canada,-19.02,14.47
Canada,-18.96,14.41
Canada,-19.12,14.97
Canada,-19.07,13.66
Canada,-19.23,14.49
Canada,-19.19,14.43
Canada,-19.26,14.27
Canada,-19.12,14.45
Canada,-19.05,14.33
Canada,-19.19,14.16
Canada,-19.19,13.77
Canada,-19.56,13.73
Canada,-19.08,13.85
Canada,-19.16,13.79
Canada,-19.2,14.19
Canada,-19.01,14.44
Canada,-19.07,14.31
Canada,-19.18,14.59
Canada,-19.17,14.7
Canada,-19.3,14.97
Canada,-19.24,14.84
Canada,-19.27,14.28
Canada,-19.11,14.34
Canada,-18.98,14.41
Canada,-19.29,14.04
Canada,-19.25,14.48
Canada,-19.43,13.79
Canada,-19.36,14.62
Canada,-19.32,14.77
Canada,-19.01,13.97
Canada,-19.26,14.1
Canada,-18.95,13.6
Canada,-18.97,13.39
Canada,-19.02,13.97
Canada,-18.91,13.4
Canada,-19.34,14.28
Canada,-19.07,13.52
Canada,-19.14,13.95
Canada,-19.32,14.5
Canada,-19.21,13.61
Canada,-19.05,14.51
Canada,-19.09,14.62
Canada,-19.31,13.9
Canada,-19.03,14.14
Canada,-19.12,13.86
Canada,-19.08,13.95
Canada,-19.1,14.18
Canada,-19.19,14.14
Canada,-18.91,13.69
Canada,-19.08,13.75
Canada,-19.09,14.18
Canada,-19.01,14.25
Canada,-19.33,14.11
Canada,-19,13.96
Canada,-19.18,14.67
Canada,-19.02,13.09
Canada,-19.15,13.97
Canada,-19.25,13.83
Scotland,-19.18,11.88
Scotland,-19.1,12.28
Scotland,-18.9,11.25
Scotland,-19.29,12.73
Scotland,-19.68,12.83
Scotland,-19.04,11.82
Scotland,-18.95,12.3
Scotland,-19.36,12.13
Scotland,-19.05,12.36
Scotland,-18.68,11.73
Scotland,-19.79,12.63
Scotland,-19.15,12.26
Scotland,-18.93,11.83
Scotland,-18.08,12.38
Scotland,-18.88,11.55
Scotland,-18.9,11.7
Scotland,-19.23,12.25
Scotland,-19.31,11.86
Scotland,-19.48,12.02
Scotland,-19.16,11.82
Scotland,-18.9,11.11
Scotland,-19.26,12.02
Scotland,-19.21,11.75
Scotland,-19.18,11.53
Scotland,-19.58,12.81
Scotland,-20.18,12.74
Scotland,-19.63,12.34
Scotland,-19.3,11.8
Scotland,-19.4,11.8
Scotland,-19.66,12.49
Scotland,-19.25,11.29
Scotland,-19.59,12.43
Scotland,-19.2,11.86
Scotland,-19.07,12.14
Scotland,-19.53,12.94
Scotland,-19.17,11.82
Scotland,-18.94,11.92
Scotland,-19.02,11.96
Scotland,-19.5,12.41
Scotland,-19.74,12.67
Scotland,-18.8,12.15
Scotland,-19.17,12.17
Scotland,-18.95,11.87
Scotland,-19.18,12.53
Scotland,-18.75,11.66
Scotland,-18.88,11.5
Scotland,-19.21,13.34
Scotland,-18.9,12.23
Scotland,-19.86,12.95
Scotland,-19.4,13.24
Scotland,-19.11,12.36
Iceland,-19.65,12.57
Iceland,-19.54,12.89
Iceland,-19.67,12.63
Iceland,-19.87,12.4
Iceland,-19.49,12.3
Iceland,-19.62,12.57
Iceland,-19.55,12.72
Iceland,-19.67,12.99
Iceland,-19.58,12.5
Iceland,-19.67,12.96
Iceland,-19.48,12.89
Iceland,-19.42,12.49
Iceland,-20.01,13.01
Iceland,-19.64,12.91
Iceland,-19.64,12.64
Iceland,-19.72,13.17
Iceland,-19.53,13.07
Iceland,-19.89,12.93
Iceland,-19.6,13.2
Iceland,-19.55,12.82
Iceland,-19.75,13.14
Iceland,-19.62,12.55
