Source,d13C,d15N,Concd13C,Concd15N
Canada,-19.36,14.62,0.48,0.15
Canada,-19,14.52,0.48,0.15
Canada,-18.98,14.8,0.48,0.15
Canada,-19.09,14.72,0.48,0.15
Scotland,-19.32,12.78,0.47,0.15
Scotland,-19.19,12.52,0.47,0.15
Scotland,-19.01,12.39,0.47,0.15
Scotland,-19.19,12.17,0.47,0.15
Scotland,-19.4,13.1,0.47,0.15
Scotland,-18.99,12.1,0.47,0.15
Scotland,-19.06,11.87,0.47,0.15
Scotland,-18.54,11.48,0.47,0.15
Scotland,-19.3,12.4,0.47,0.15
Scotland,-19.02,11.96,0.47,0.15
Scotland,-19.13,11.93,0.47,0.15
Scotland,-19.35,11.65,0.47,0.15
Scotland,-18.88,11.52,0.47,0.15
Scotland,-18.95,11.42,0.47,0.15
Scotland,-19.09,11.42,0.47,0.15
Scotland,-18.86,11.42,0.47,0.15
Scotland,-19.06,11.39,0.47,0.15
Scotland,-19.46,10.69,0.47,0.15
Iceland,-19.73,12.17,0.48,0.15
Iceland,-19.64,12.92,0.48,0.15
Iceland,-19.6,12.85,0.48,0.15
Iceland,-19.58,12.76,0.48,0.15
Iceland,-19.87,13.3,0.48,0.15
Iceland,-19.65,12.91,0.48,0.15
Iceland,-19.73,12.86,0.48,0.15
Iceland,-19.87,13.36,0.48,0.15
Iceland,-19.87,13.27,0.48,0.15
Iceland,-19.95,13.81,0.48,0.15
Iceland,-20.01,13.47,0.48,0.15
Iceland,-19.75,13.11,0.48,0.15
