Source,d13C,d15N
Surface POM,-27.861,-0.724
Surface POM,-25.534,-3.627
Surface POM,-29.447,1.630
Surface POM,-29.538,-3.245
Surface POM,-29.758,0.393
Surface POM,-30.441,2.796
Surface POM,-29.736,-0.289
Surface POM,-30.465,1.717
Surface POM,-28.790,-3.125
Surface POM,-28.869,-0.494
Surface POM,-29.648,0.494
Surface POM,-28.386,1.617
Surface POM,-29.433,1.613
Surface POM,-29.227,1.411
Surface POM,-31.203,1.262
Surface POM,-27.608,-0.461
Surface POM,-29.186,-1.638
Surface POM,-31.095,0.673
Surface POM,-27.776,0.489
Surface POM,-28.831,5.067
Surface POM,-28.910,1.971
Subsurface POM,-35.225,-0.736
Subsurface POM,-34.928,-1.289
Subsurface POM,-34.325,1.921
Subsurface POM,-32.309,-0.515
Subsurface POM,-32.562,-0.629
Subsurface POM,-35.673,-3.255
Subsurface POM,-34.348,-1.221
Subsurface POM,-36.208,7.703
Subsurface POM,-34.360,2.570
Subsurface POM,-33.353,-0.586
Subsurface POM,-33.290,2.319
Subsurface POM,-33.058,5.929
Subsurface POM,-35.128,3.056
Subsurface POM,-32.814,-1.557
Subsurface POM,-31.799,-2.545
Subsurface POM,-34.549,-2.318
Subsurface POM,-35.012,-3.139
Subsurface POM,-34.479,0.144
Subsurface POM,-34.393,1.610
Subsurface POM,-34.299,4.861
Subsurface POM,-34.177,0.162
Terrestrial Detritus,-31.933,-2.495
Terrestrial Detritus,-29.082,-2.504
Terrestrial Detritus,-29.997,-2.333
Terrestrial Detritus,-30.608,-1.481
Terrestrial Detritus,-30.158,-4.137
Terrestrial Detritus,-28.036,-3.423
Terrestrial Detritus,-28.023,-4.109
Terrestrial Detritus,-28.939,-2.988
Terrestrial Detritus,-29.422,-3.150
Terrestrial Detritus,-29.376,-2.311
Terrestrial Detritus,-27.664,-1.470
Terrestrial Detritus,-29.842,-2.907
Terrestrial Detritus,-30.913,-5.668
Terrestrial Detritus,-29.611,-2.825
Terrestrial Detritus,-29.378,-3.270
Terrestrial Detritus,-30.278,-2.679
Terrestrial Detritus,-28.697,-1.827
Terrestrial Detritus,-29.328,-5.477
Terrestrial Detritus,-29.902,-5.763
Terrestrial Detritus,-30.055,-1.912
Terrestrial Detritus,-28.542,-0.702
